Kernel Name,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Average,kernel id,similar_kernel_ids
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",53487.0,53609.0,53680.0,53805.0,53630.0,53627.0,53766.0,53625.0,53708.0,53597.0,53653.4,1,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",53539.0,53494.0,53505.0,53533.0,53484.0,53336.0,53420.0,53545.0,53532.0,53342.0,53473.0,2,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3415.0,3390.0,3345.0,3335.0,3386.0,3993.0,3419.0,3356.0,3384.0,3431.0,3384.555555555556,3,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3447.0,3333.0,3285.0,3288.0,3422.0,3326.0,3329.0,3291.0,3331.0,3333.0,3338.5,4,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",53455.0,53588.0,53527.0,53483.0,54299.0,53546.0,53555.0,53517.0,53739.0,53494.0,53620.3,5,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",53426.0,53657.0,53532.0,53561.0,53492.0,53585.0,54364.0,53587.0,53550.0,53535.0,53628.9,6,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3549.0,3396.0,3431.0,3345.0,3556.0,3874.0,3385.0,3550.0,3584.0,3579.0,3524.9,7,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",3458.0,3337.0,3332.0,3286.0,3322.0,3403.0,3330.0,3470.0,3325.0,3543.0,3380.6,8,3
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",53488.0,53495.0,53621.0,53662.0,53886.0,53508.0,53537.0,53607.0,53756.0,54249.0,53680.9,9,1
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, at::detail::Array<char *, (int)1>>(int, T2, T3)",53428.0,54383.0,53642.0,53469.0,53528.0,53511.0,54299.0,53570.0,53340.0,53625.0,53679.5,10,1
